,loss,mse,val_loss,val_mse
396,0.05143522843718529,0.05143522843718529,0.0737859234213829,0.0737859234213829
397,0.051963917911052704,0.051963917911052704,0.06805691868066788,0.06805691868066788
398,0.051367923617362976,0.051367923617362976,0.06791602820158005,0.06791602820158005
399,0.05137237533926964,0.05137237533926964,0.06052481383085251,0.06052481383085251
400,0.051317159086465836,0.051317159086465836,0.06795325130224228,0.06795325130224228
401,0.05151837319135666,0.05151837319135666,0.09335268288850784,0.09335268288850784
402,0.0509861595928669,0.0509861595928669,0.08929367363452911,0.08929367363452911
403,0.0509517565369606,0.0509517565369606,0.06317804008722305,0.06317804008722305
404,0.0511699803173542,0.0511699803173542,0.0791696235537529,0.0791696235537529
405,0.05100255087018013,0.05100255087018013,0.061394087970256805,0.061394087970256805
406,0.051354385912418365,0.051354385912418365,0.07888347655534744,0.07888347655534744
407,0.05140430107712746,0.05140430107712746,0.0665779560804367,0.0665779560804367
408,0.05124131590127945,0.05124131590127945,0.06973664462566376,0.06973664462566376
409,0.051397621631622314,0.051397621631622314,0.0758482813835144,0.0758482813835144
410,0.05084192752838135,0.05084192752838135,0.07770261913537979,0.07770261913537979
411,0.050876494497060776,0.050876494497060776,0.07916761189699173,0.07916761189699173
412,0.05088004097342491,0.05088004097342491,0.07812254130840302,0.07812254130840302
413,0.05060410127043724,0.05060410127043724,0.0756622776389122,0.0756622776389122
414,0.051044706255197525,0.051044706255197525,0.07304497063159943,0.07304497063159943
415,0.05069972947239876,0.05069972947239876,0.07695256173610687,0.07695256173610687
416,0.050729550421237946,0.050729550421237946,0.07266280800104141,0.07266280800104141
417,0.050836190581321716,0.050836190581321716,0.09531520307064056,0.09531520307064056
418,0.05044297128915787,0.05044297128915787,0.06522006541490555,0.06522006541490555
419,0.050268493592739105,0.050268493592739105,0.0836341455578804,0.0836341455578804
420,0.050641510635614395,0.050641510635614395,0.0714925229549408,0.0714925229549408
421,0.05002704635262489,0.05002704635262489,0.0635150894522667,0.0635150894522667
422,0.05074911564588547,0.05074911564588547,0.0596911758184433,0.0596911758184433
423,0.05051620304584503,0.05051620304584503,0.07305033504962921,0.07305033504962921
424,0.050730958580970764,0.050730958580970764,0.06579004973173141,0.06579004973173141
425,0.050268352031707764,0.050268352031707764,0.0877123698592186,0.0877123698592186
426,0.050072453916072845,0.050072453916072845,0.066785529255867,0.066785529255867
427,0.05033493414521217,0.05033493414521217,0.07580368220806122,0.07580368220806122
428,0.050641562789678574,0.050641562789678574,0.05829363316297531,0.05829363316297531
429,0.0499190092086792,0.0499190092086792,0.07703988999128342,0.07703988999128342
430,0.05032132565975189,0.05032132565975189,0.06806214153766632,0.06806214153766632
431,0.05017440393567085,0.05017440393567085,0.06037244200706482,0.06037244200706482
432,0.04991281032562256,0.04991281032562256,0.08907639980316162,0.08907639980316162
433,0.050007183104753494,0.050007183104753494,0.06849828362464905,0.06849828362464905
434,0.0502358041703701,0.0502358041703701,0.06888294219970703,0.06888294219970703
435,0.0502227358520031,0.0502227358520031,0.07477755099534988,0.07477755099534988
436,0.04976115748286247,0.04976115748286247,0.0705537348985672,0.0705537348985672
437,0.04976407065987587,0.04976407065987587,0.08668839186429977,0.08668839186429977
438,0.04988783970475197,0.04988783970475197,0.06567280739545822,0.06567280739545822
439,0.05014578998088837,0.05014578998088837,0.07874094694852829,0.07874094694852829
440,0.050031088292598724,0.050031088292598724,0.06667306274175644,0.06667306274175644
441,0.049766093492507935,0.049766093492507935,0.07766043394804001,0.07766043394804001
442,0.049675919115543365,0.049675919115543365,0.062282029539346695,0.062282029539346695
443,0.049379244446754456,0.049379244446754456,0.05372124910354614,0.05372124910354614
444,0.04936313256621361,0.04936313256621361,0.06704198569059372,0.06704198569059372
445,0.04996036738157272,0.04996036738157272,0.06381898373365402,0.06381898373365402
446,0.04969222843647003,0.04969222843647003,0.06601487100124359,0.06601487100124359
447,0.04951915144920349,0.04951915144920349,0.0666837990283966,0.0666837990283966
448,0.049332890659570694,0.049332890659570694,0.06095613166689873,0.06095613166689873
449,0.04950154945254326,0.04950154945254326,0.09081927686929703,0.09081927686929703
450,0.04949776828289032,0.04949776828289032,0.07615460455417633,0.07615460455417633
451,0.04939466714859009,0.04939466714859009,0.0703505128622055,0.0703505128622055
452,0.04938439279794693,0.04938439279794693,0.06690831482410431,0.06690831482410431
453,0.04899309203028679,0.04899309203028679,0.064215749502182,0.064215749502182
454,0.04910263791680336,0.04910263791680336,0.06285235285758972,0.06285235285758972
455,0.049143362790346146,0.049143362790346146,0.05534443259239197,0.05534443259239197
456,0.0493779219686985,0.0493779219686985,0.06810083240270615,0.06810083240270615
457,0.04895731434226036,0.04895731434226036,0.08008691668510437,0.08008691668510437
458,0.04939603433012962,0.04939603433012962,0.0752246081829071,0.0752246081829071
459,0.048602595925331116,0.048602595925331116,0.08263779431581497,0.08263779431581497
460,0.04911522939801216,0.04911522939801216,0.08068885654211044,0.08068885654211044
461,0.04921073839068413,0.04921073839068413,0.06672045588493347,0.06672045588493347
462,0.04892013221979141,0.04892013221979141,0.06057305261492729,0.06057305261492729
463,0.0486813560128212,0.0486813560128212,0.06538758426904678,0.06538758426904678
464,0.048538804054260254,0.048538804054260254,0.07994168251752853,0.07994168251752853
465,0.04887038469314575,0.04887038469314575,0.07530225068330765,0.07530225068330765
466,0.048847924917936325,0.048847924917936325,0.06121554225683212,0.06121554225683212
467,0.048807740211486816,0.048807740211486816,0.08409955352544785,0.08409955352544785
468,0.04883861169219017,0.04883861169219017,0.06853478401899338,0.06853478401899338
469,0.048751525580883026,0.048751525580883026,0.060506902635097504,0.060506902635097504
470,0.04892417788505554,0.04892417788505554,0.0652763620018959,0.0652763620018959
471,0.048418063670396805,0.048418063670396805,0.06262379884719849,0.06262379884719849
472,0.04873717203736305,0.04873717203736305,0.06927147507667542,0.06927147507667542
473,0.04822281375527382,0.04822281375527382,0.06563150882720947,0.06563150882720947
474,0.04779229313135147,0.04779229313135147,0.06182454898953438,0.06182454898953438
475,0.04835072532296181,0.04835072532296181,0.08054837584495544,0.08054837584495544
476,0.048576720058918,0.048576720058918,0.0606863796710968,0.0606863796710968
477,0.048478059470653534,0.048478059470653534,0.07360836863517761,0.07360836863517761
478,0.04819681867957115,0.04819681867957115,0.07030810415744781,0.07030810415744781
