,loss,mse,val_loss,val_mse
330,0.04164481908082962,0.04164481908082962,0.04663999378681183,0.04663999378681183
331,0.039209239184856415,0.039209239184856415,0.053623683750629425,0.053623683750629425
332,0.03712938353419304,0.03712938353419304,0.04107941314578056,0.04107941314578056
333,0.03668556362390518,0.03668556362390518,0.042460378259420395,0.042460378259420395
334,0.03587942570447922,0.03587942570447922,0.038853541016578674,0.038853541016578674
335,0.03541320189833641,0.03541320189833641,0.0454147532582283,0.0454147532582283
336,0.03457953780889511,0.03457953780889511,0.04906357824802399,0.04906357824802399
337,0.03315410763025284,0.03315410763025284,0.04345565289258957,0.04345565289258957
338,0.03264626860618591,0.03264626860618591,0.039272911846637726,0.039272911846637726
339,0.036050859838724136,0.036050859838724136,0.04661925509572029,0.04661925509572029
340,0.04188612475991249,0.04188612475991249,0.051812782883644104,0.051812782883644104
341,0.04007227346301079,0.04007227346301079,0.03805447369813919,0.03805447369813919
342,0.03739064186811447,0.03739064186811447,0.03655944764614105,0.03655944764614105
343,0.03498034551739693,0.03498034551739693,0.034967824816703796,0.034967824816703796
344,0.034909654408693314,0.034909654408693314,0.04553515091538429,0.04553515091538429
345,0.05021696537733078,0.05021696537733078,0.07713119685649872,0.07713119685649872
346,0.0587361641228199,0.0587361641228199,0.051768820732831955,0.051768820732831955
347,0.05201959237456322,0.05201959237456322,0.048118337988853455,0.048118337988853455
348,0.048816051334142685,0.048816051334142685,0.050470683723688126,0.050470683723688126
349,0.04724098742008209,0.04724098742008209,0.060474202036857605,0.060474202036857605
350,0.05102326348423958,0.05102326348423958,0.05894133076071739,0.05894133076071739
351,0.04557407274842262,0.04557407274842262,0.042079996317625046,0.042079996317625046
352,0.04241778329014778,0.04241778329014778,0.03887186944484711,0.03887186944484711
353,0.04052567109465599,0.04052567109465599,0.03748873621225357,0.03748873621225357
354,0.04027837887406349,0.04027837887406349,0.038342155516147614,0.038342155516147614
355,0.03839903697371483,0.03839903697371483,0.03588905930519104,0.03588905930519104
356,0.037072114646434784,0.037072114646434784,0.03831951692700386,0.03831951692700386
357,0.03614348545670509,0.03614348545670509,0.0353081040084362,0.0353081040084362
358,0.03496769070625305,0.03496769070625305,0.0382457971572876,0.0382457971572876
359,0.0352032296359539,0.0352032296359539,0.0510500930249691,0.0510500930249691
360,0.03576665371656418,0.03576665371656418,0.08492089807987213,0.08492089807987213
361,0.03352576121687889,0.03352576121687889,0.042213261127471924,0.042213261127471924
362,0.03993957117199898,0.03993957117199898,0.04374520480632782,0.04374520480632782
363,0.035616856068372726,0.035616856068372726,0.03755544126033783,0.03755544126033783
364,0.03696399927139282,0.03696399927139282,0.034880321472883224,0.034880321472883224
365,0.034053731709718704,0.034053731709718704,0.03549171984195709,0.03549171984195709
366,0.03418954089283943,0.03418954089283943,0.035592321306467056,0.035592321306467056
367,0.03608940169215202,0.03608940169215202,0.05917651951313019,0.05917651951313019
368,0.0359923355281353,0.0359923355281353,0.03213755786418915,0.03213755786418915
369,0.03896014019846916,0.03896014019846916,0.050998445600271225,0.050998445600271225
370,0.0399286150932312,0.0399286150932312,0.03667077794671059,0.03667077794671059
371,0.03676750138401985,0.03676750138401985,0.03891083598136902,0.03891083598136902
372,0.035288527607917786,0.035288527607917786,0.03382061421871185,0.03382061421871185
373,0.0363725870847702,0.0363725870847702,0.04069606959819794,0.04069606959819794
374,0.03416366130113602,0.03416366130113602,0.03279212489724159,0.03279212489724159
375,0.03305443376302719,0.03305443376302719,0.035109225660562515,0.035109225660562515
376,0.05594019964337349,0.05594019964337349,0.055717241019010544,0.055717241019010544
377,0.0539250522851944,0.0539250522851944,0.05283210426568985,0.05283210426568985
378,0.048405684530735016,0.048405684530735016,0.04881652817130089,0.04881652817130089
379,0.042785052210092545,0.042785052210092545,0.041027557104825974,0.041027557104825974
380,0.03985787555575371,0.03985787555575371,0.03853815048933029,0.03853815048933029
381,0.03702068328857422,0.03702068328857422,0.03701118752360344,0.03701118752360344
382,0.03463006392121315,0.03463006392121315,0.03313465788960457,0.03313465788960457
383,0.032590772956609726,0.032590772956609726,0.030777042731642723,0.030777042731642723
384,0.031230822205543518,0.031230822205543518,0.031304217875003815,0.031304217875003815
385,0.036272045224905014,0.036272045224905014,0.14318040013313293,0.14318040013313293
386,0.04308849945664406,0.04308849945664406,0.04340635985136032,0.04340635985136032
387,0.052651695907115936,0.052651695907115936,0.05032828077673912,0.05032828077673912
388,0.0464911125600338,0.0464911125600338,0.04083585366606712,0.04083585366606712
389,0.04174806550145149,0.04174806550145149,0.037581443786621094,0.037581443786621094
390,0.03892926126718521,0.03892926126718521,0.036024369299411774,0.036024369299411774
391,0.03714168444275856,0.03714168444275856,0.036316968500614166,0.036316968500614166
392,0.03741329908370972,0.03741329908370972,0.036908023059368134,0.036908023059368134
393,0.03678058832883835,0.03678058832883835,0.03779174014925957,0.03779174014925957
394,0.03439458832144737,0.03439458832144737,0.032971978187561035,0.032971978187561035
395,0.032345183193683624,0.032345183193683624,0.031128909438848495,0.031128909438848495
396,0.030749594792723656,0.030749594792723656,0.03253713622689247,0.03253713622689247
397,0.03204094618558884,0.03204094618558884,0.033119797706604004,0.033119797706604004
398,0.03224650397896767,0.03224650397896767,0.04672560840845108,0.04672560840845108
399,0.038027286529541016,0.038027286529541016,0.046885959804058075,0.046885959804058075
400,0.034955788403749466,0.034955788403749466,0.05321658402681351,0.05321658402681351
401,0.031627193093299866,0.031627193093299866,0.04143543913960457,0.04143543913960457
402,0.036989156156778336,0.036989156156778336,0.04801303893327713,0.04801303893327713
403,0.0336824469268322,0.0336824469268322,0.03186637535691261,0.03186637535691261
404,0.03186945989727974,0.03186945989727974,0.032172251492738724,0.032172251492738724
405,0.030704861506819725,0.030704861506819725,0.03263780474662781,0.03263780474662781
406,0.02889172174036503,0.02889172174036503,0.034907180815935135,0.034907180815935135
407,0.031942084431648254,0.031942084431648254,0.0567043200135231,0.0567043200135231
408,0.0391809307038784,0.0391809307038784,0.03908410668373108,0.03908410668373108
409,0.03596334904432297,0.03596334904432297,0.037000298500061035,0.037000298500061035
410,0.037609733641147614,0.037609733641147614,0.046219225972890854,0.046219225972890854
411,0.03855740651488304,0.03855740651488304,0.07176849246025085,0.07176849246025085
412,0.04494226723909378,0.04494226723909378,0.04748138040304184,0.04748138040304184
