,loss,mae,val_loss,val_mae
0,0.645542562007904,0.6305655241012573,0.5932217836380005,0.6137658357620239
1,0.21243928372859955,0.3675101101398468,0.2468903809785843,0.3939454257488251
2,0.12392118573188782,0.28583085536956787,0.15467891097068787,0.31934264302253723
3,0.10550108551979065,0.2665936052799225,0.12983331084251404,0.29514190554618835
4,0.09834124892950058,0.2582385838031769,0.1055852621793747,0.27189427614212036
5,0.09247983247041702,0.2512301206588745,0.1057581752538681,0.26885363459587097
6,0.08895613998174667,0.24697571992874146,0.10115030407905579,0.2647745907306671
7,0.08693668991327286,0.24474895000457764,0.09648855775594711,0.2574111819267273
8,0.0855250209569931,0.24277730286121368,0.1135987937450409,0.2806835472583771
9,0.08324674516916275,0.23990842700004578,0.08194225281476974,0.23892587423324585
10,0.08255655318498611,0.23843857645988464,0.08750268816947937,0.2468329817056656
11,0.08207329362630844,0.23769167065620422,0.07790341973304749,0.23210616409778595
12,0.08087271451950073,0.23611807823181152,0.08964186161756516,0.25189629197120667
13,0.08017433434724808,0.23510102927684784,0.09324327856302261,0.2558306157588959
14,0.07953675091266632,0.23437854647636414,0.09422454982995987,0.25867506861686707
15,0.0793108269572258,0.23378023505210876,0.08145704865455627,0.2378942370414734
16,0.07863255590200424,0.23278401792049408,0.07949181646108627,0.23516032099723816
17,0.0776534229516983,0.23123466968536377,0.07963598519563675,0.23502884805202484
18,0.07725196331739426,0.23081286251544952,0.07735559344291687,0.23131227493286133
19,0.07698358595371246,0.23017746210098267,0.0906858891248703,0.2535366117954254
20,0.07661504298448563,0.22961845993995667,0.07392195612192154,0.2253633439540863
21,0.0758805051445961,0.22832025587558746,0.07641367614269257,0.2302582561969757
22,0.07597918063402176,0.2285834550857544,0.07333611696958542,0.2243325412273407
23,0.0752929225564003,0.2276318371295929,0.0722927525639534,0.22284218668937683
24,0.07478511333465576,0.2262883484363556,0.07537214457988739,0.2273441106081009
25,0.07476402819156647,0.22607433795928955,0.07498270273208618,0.22686992585659027
26,0.07484662532806396,0.22617459297180176,0.0819549486041069,0.23927690088748932
